title,description,url
Important Document and Testing Deadlines Approaching for Incoming Students,All incoming UCR students must submit their final official transcripts and test scores as part of their admissions requirements. Deadlines for both are fast approaching.,https://admissions.ucr.edu/blog/2021/06/16/important-document-and-testing-deadlines-approaching-incoming-students
Submit Your Application for UC Riverside NOW!,Apply to UC Riverside for fall 2022 by submitting your University of California application through November 30.,https://admissions.ucr.edu/blog/2021/10/28/submit-your-application-uc-riverside-now
On-Campus Housing Still Available for Fall 2021!,Attention Incoming Students: On-campus housing is filling up fast! Submit your Housing Contract right away. Experience on-campus living as close to pre-pandemic “normal” conditions as possible.,https://admissions.ucr.edu/blog/2021/06/15/campus-housing-still-available-fall-2021
In-Person Admissions Services Resuming,"Beginning Sept. 1, incoming and prospective students can visit the Highlander One-Stop Shop (HOSS) Mondays through Fridays from 9 a.m. to 5 p.m. to get in-person help with their admissions questions.",https://admissions.ucr.edu/blog/2021/08/27/person-admissions-services-resuming
The Fall 2022 Application Is Open!,Start your fall 2022 application today and take your place at one of the most highly ranked and respected universities in the world: UC Riverside!,https://admissions.ucr.edu/blog/2021/08/23/fall-2022-application-is-open
Campus Residents & COVID-19,Here’s what to expect when a student resident tests positive for COVID-19 while living in on-campus housing.,https://housing.ucr.edu/COVID-19
Undergraduate Admissions,Bold Hearts. Brilliant Minds.,https://admissions.ucr.edu/blog/2021/06/16
UC Riverside research team fuels the hemp revolution,A new hemp pulping method that converts 100% of the plant to useful components moves toward commercialization,https://news.ucr.edu/articles/2020/07/24/uc-riverside-research-team-fuels-hemp-revolution
"(Podcast Premier) Blue, Gold & BLACK: Amplifying Black Voices at UCR","UC Riverside hands the mic to Black Highlanders. Hear stories of what it’s really like to be a student, staffer, faculty member, and administrator of color on UCR’s campus.",https://admissions.ucr.edu/blog/2020/09/10/podcast-premier-blue-gold-black-amplifying-black-voices-ucr
Undergraduate Admissions,Bold Hearts. Brilliant Minds.,https://admissions.ucr.edu/blog/2021/06/15
Undergraduate Admissions,Bold Hearts. Brilliant Minds.,https://admissions.ucr.edu/blog/2021/10/28
Undergraduate Admissions,Bold Hearts. Brilliant Minds.,https://admissions.ucr.edu/blog/2021/08/27
Beyond Borders: International Highlander Stories,"Discover what it’s like to travel across the world to join UC Riverside’s community of unique, committed, and real students.",https://admissions.ucr.edu/blog/2020/10/16/beyond-borders-international-highlander-stories
Learn More about UC Riverside,"Customize the type of information you receive about UCR. Select your preferences and get information about majors, events and different components of the campus that interest you. Subscribe today to receive updated information!",https://admissions.ucr.edu/international/scotty
UCR Introduces New Ways to Connect Virtually,"UCR has so much to share virtually with prospective students and their families, including the student experience, what the admission process is like, virtual campus tours, and how much support is in place for Unique, Committed, Real students — just like you!",https://admissions.ucr.edu/blog/2020/09/22/ucr-introduces-new-ways-connect-virtually
UCR Campus Tours: Four Ways,"UC Riverside’s Campus Tours has developed a new driving tour of the campus’ architecturally aesthetic landmarks, new virtual Zoom meeting options with unique, committed, and real Highlanders who have all the insider intel — and other ways to discover UCR!",https://admissions.ucr.edu/blog/2020/11/20/ucr-campus-tours-four-ways
Highlander Days 2021: UCR Preps for Thousands of Virtual Visitors,"UC Riverside invites admitted and prospective students from all over the world to log in for a virtual open house. Connect with the Highlander community and get answers to all your UCR, Highlander, and even Scotty the Bear questions.",https://admissions.ucr.edu/blog/2021/03/04/highlander-days-2021-ucr-preps-thousands-virtual-visitors
Undergraduate Admissions,Bold Hearts. Brilliant Minds.,https://admissions.ucr.edu/blog/2021/08/23
UCR Is Test-Free for Fall 2021,UC Riverside will no longer use standardized exam scores (ACT/SAT) in our comprehensive review and selection process for the fall 2021 admission cycle.,https://admissions.ucr.edu/blog/2020/10/15/ucr-test-free-fall-2021
UCR Hosting Celebration for Admitted Puente and Umoja Students,"The Puente and Umoja Admitted Student Celebration will give transfer students a place to learn about campus resources, connect with other students, and celebrate their admission to UCR.",https://admissions.ucr.edu/blog/2021/04/26/ucr-hosting-celebration-admitted-puente-and-umoja-students
UCR Gets Creative for Fall Recruitment,"With in-person recruitment on hold for the fall, UCR admissions counselors are hosting webinars, scheduling individual consultations, and finding new ways to connect with prospective students virtually.",https://admissions.ucr.edu/blog/2020/10/01/ucr-gets-creative-fall-recruitment
UCR Helps Transfer Students Achieve Their Educational Goals at Puente Day,"Hosted by Undergraduate Admissions transfer unit, Puente Day provides community college students with information on transferring to UCR and applying for financial aid and connects them with current UCR students who've been through the transfer process.",https://admissions.ucr.edu/blog/2021/03/17/ucr-helps-transfer-students-achieve-their-educational-goals-puente-day
Join UCR’s Black CommUNITY for Unity Day!,"Get to know UCR's Black CommUNITY and the people, resources, and community dedicated to your success at Unity Day, a virtual event for Black students by Black students.",https://admissions.ucr.edu/blog/2021/03/17/join-ucrs-black-community-unity-day
Undergraduate Admissions,Bold Hearts. Brilliant Minds.,https://admissions.ucr.edu/blog/2020/10/16
"Admitted Transfer Giveaway: iPads, Chromebooks, AirPod Pros, & Gift Cards",UC Riverside’s Highlander Days is an open house that connects admitted and prospective students with the campus community so they can learn more about studying at one of America’s leading universities. This year’s event is virtual and features a special contest where admitted students can win amazing prizes.,https://admissions.ucr.edu/blog/2021/04/29/admitted-transfer-giveaway-ipads-chromebooks-airpod-pros-gift-cards
UCR Welcomes Students into New Data Science Major,"Created through a partnership between the Department of Computer Science and Engineering and the Department of Statistics, UCR's new data science major trains students on collecting, transforming, and analyzing data to solve problems across disciplines including business, science, and medicine.",https://admissions.ucr.edu/blog/2020/11/23/ucr-welcomes-students-new-data-science-major
Prospective Students Find Community at Virtual Umoja Day,"Presented online for the first time, Virtual Umoja Day provided high school and community college students with the opportunity to connect with people and programs at UCR.",https://admissions.ucr.edu/blog/2020/12/18/prospective-students-find-community-virtual-umoja-day
Taking photos of slides helps students remember,"Students often take camera-phone photos of slides during an instructor’s presentation. But the question has lingered whether this practice helps students remember information. A first-of-its-kind study answers the question, finding that taking pictures of PowerPoint slides during an online presentation helped students remember the slide content better than for slides they did not photograph. The study was recently published in the Journal of Applied Research in Memory and Cognition by UC Riverside psychology professor and researcher Annie Ditta.",https://news.ucr.edu/articles/2022/10/17/taking-photos-slides-helps-students-remember
Ukraine advances don't equal Russian retreat,"The past week has been one of alternately hopeful and discouraging news in the 7-months-long invasion of Ukraine by Russia. We asked Ukraine expert Paul D'Anieri for guidance on whether the developments signal a winddown in Russian aggression or if they foretell a next, more perilous chapter. D'Anieri wrote the 2019 book “Ukraine and Russia"" and a 2007 book, “Understanding Ukrainian Politics: Power, Politics and Institutional Design.” For the 2017-18 academic year, he served as a fellow in the Harvard University Ukrainian Research Institution.",https://news.ucr.edu/articles/2022/09/21/ukraine-advances-dont-equal-russian-retreat
Latino census data points to college-graduation disparity,"Sept. 25, the Center for Social Innovation released a report based on census data that asserts only 11% of Latinos in the Inland Empire have a bachelor’s degree or higher, compared with 35% overall in California and 33% nationally. Latinos comprise 51 percent of the 4.65 million people who live in the Inland Empire. ",https://news.ucr.edu/articles/2022/09/26/latino-census-data-points-college-graduation-disparity
Undergraduate Admissions,Bold Hearts. Brilliant Minds.,https://admissions.ucr.edu/blog/2020/09/22
Does Bing's angsty chatbot foretell the future?,"Several weeks ago, UCR News published a faculty Q&A about the text-generating capabilities of ChatGPT, and its potential impact on academic essay writing and education. In the ensuing weeks, concerns have been raised about an artificial intelligence-powered chatbot created by OpenAI, the maker of ChatGPT, that has been incorporated on a test basis in Microsoft’s Bing search engine.",https://news.ucr.edu/articles/2023/02/24/does-bings-angsty-chatbot-foretell-future
Undergraduate Admissions,Bold Hearts. Brilliant Minds.,https://admissions.ucr.edu/blog/2021/04/26
Undergraduate Admissions,Bold Hearts. Brilliant Minds.,https://admissions.ucr.edu/blog/2020/10/01
Undergraduate Admissions,Bold Hearts. Brilliant Minds.,https://admissions.ucr.edu/blog/2021/03/17
"Prop 30: A lift for rideshare companies, at the expense of the uber-rich?","Proposition 30 would call for Californians earning more than $2 million per year to help fund zero-emission vehicle purchases and infrastructure, and — to a lesser extent — to fund wildfire response and prevention. It would generate between $3.5 to $5 billion annually by taxing the personal incomes of 35,000, or .2% of Californians who account for 30% of the state’s taxable income. Half of the funding dedicated to zero-emissions vehicles, or ZEVs, would go toward rebates for low-to-middle-income residents who buy ZEVs.",https://news.ucr.edu/articles/2022/10/31/prop-30-lift-rideshare-companies-expense-uber-rich
UCR pundits predict Democrats will take the Senate,"Most political scientists and prognosticators predict a GOP win in the U.S. House of Representativeson Nov. 8, and so much of the media’s focus has turned to a tighter suite of contests – those for U.S. Senate seats.",https://news.ucr.edu/articles/2022/10/31/ucr-pundits-predict-democrats-will-take-senate
Apple TV+ series features UCR professor as 'gratitude expert',"The lessons in today’s preschool animated series are a moonshot from the anvil-dropping antics of their parents’-parents’ generation. Case in point: UC Riverside psychology researcher Sonja Lyubomirsky is the “gratitude expert” for a new preschool animated series from Apple TV+, “Sago Mini Friends.”",https://news.ucr.edu/articles/2022/11/03/apple-tv-series-features-ucr-professor-gratitude-expert
Resources,Resources for Your Student Your student’s experience is important to the university. Help your student get connected with the resources provided by the campus.,https://parents.ucr.edu/resources
Undergraduate Admissions,Bold Hearts. Brilliant Minds.,https://admissions.ucr.edu/blog/2020/10/15
Liking another group doesn't mean you dislike your own,"More than 70 years ago, a pair of psychologists conducted a study in which they asked young Black girls to choose between Black and white dolls. The girls overwhelmingly chose white dolls, ascribing positive attributes to them. The Black girls’ choices and reasoning were interpreted by study authors to indicate “a feeling of inferiority among African-American children and damaged... self-esteem.” The die was cast in psychology discourse: If you like a group to which you don’t belong — an “outgroup” — it’s because you have bad feelings about your own group — your “ingroup.”",https://news.ucr.edu/articles/2022/09/29/liking-another-group-doesnt-mean-you-dislike-your-own
Author revisits lessons of prison yoga,"The narrative surrounding the virtues of yoga instruction inside prisons is incomplete, according to a UC Riverside professor who taught yoga in prisons for several years and has written a book about the experience. “There is a false narrative, which is ‘if you improve yourself, you won’t get incarcerated,’” said Farah Godrej, an associate professor of political science. “Inside prisons, this idea of self-improvement is used in a way that’s insidious. It becomes an apparatus for telling incarcerated persons that incarceration is their own fault.”",https://news.ucr.edu/articles/2022/11/22/author-revisits-lessons-prison-yoga
"COVID-19 expressions in video, art, poetry",A history assignment gave UCR students an opportunity to capture their lives during the pandemic.,https://news.ucr.edu/articles/2021/04/28/covid-19-expressions-video-art-poetry
‘Little Free Pantry’ now available to student parents at Oban Family Housing,"Students with families living at UC Riverside's Oban Family Housing now have access to a small pantry at any time of the day.  Small hand sanitizers, canned veggies, coffee, and other nonperishable food items sit inside the Little Free Pantry, a roughly 2-foot-by-1.5-foot wooden miniature shed-shaped case inspired by the Little Free Library stands that hold free books for the community. At Oban Family Housing the Little Free Pantry hangs on a wall inside the laundry room, which grants residents access 24/7. ",https://news.ucr.edu/articles/2021/03/17/little-free-pantry-now-available-student-parents-oban-family-housing
Experts discuss the ‘coming out’ of nonbinary people,UCR experts say Demi Lovato’s public announcement amplifies the conversation about gender identity.,https://news.ucr.edu/articles/2021/06/09/experts-discuss-coming-out-nonbinary-people
Grants support programming for Underground Scholars Initiative,"The money comes from UC Berkeley’s Underground Scholars, via grants from the Andrew Mellon and Crankstart foundations to support the expansion of the Underground Scholars model UC-wide.",https://news.ucr.edu/articles/2021/05/25/grants-support-programming-underground-scholars-initiative
Ramadan in the time of COVID-19,"The pandemic has forced smaller gatherings, but students have still found an opportunity for reflection and family time.",https://news.ucr.edu/articles/2021/05/08/ramadan-time-covid-19
2021 voices: Grads share pivotal moments of their educational journeys,"More than 7,100 students are eligible to graduate; Commencement events kick off on June 3 with the School of Medicine.",https://news.ucr.edu/articles/2021/06/01/2021-voices-grads-share-pivotal-moments-their-educational-journeys
UC Riverside launches research center to drive Inland California innovation,The Center for Social Innovation will use university-level research to spur community involvement and civic participation,https://news.ucr.edu/articles/2018/02/14/uc-riverside-launches-research-center-drive-inland-california-innovation
Report paints portrait of Inland Empire’s growing workforce,"The region’s job growth exceeds the statewide average, and efforts are underway to ensure more good jobs that allow families to make ends meet",https://news.ucr.edu/articles/2018/12/03/report-paints-portrait-inland-empires-growing-workforce
New center to address health disparities in inland Southern California,"Five-year, $16 million grant from the National Institutes of Health will help launch Center for Health Disparities Research at UC Riverside",https://news.ucr.edu/articles/2019/08/23/new-center-address-health-disparities-inland-southern-california
Voters and multiracial candidates? It's complicated,"There is a whole new dynamic that pundits, campaign managers, and voters will be negotiating in American politics, and the starting gun has already been fired. That is, the complicated — so says the research — dynamic of how voters regard multiracial candidates. On the national stage, it began with Barack Obama, and continues in this election cycle with Democratic nominee Joe Biden’s running mate, California U.S. Sen. Kamala Harris.",https://news.ucr.edu/articles/2020/10/07/voters-and-multiracial-candidates-its-complicated
The shutdown brought bluer skies but more nighttime ozone to the Inland Empire,Air quality improvements lead to unique atmospheric chemical behavior,https://news.ucr.edu/articles/2020/03/31/shutdown-brought-bluer-skies-more-nighttime-ozone-inland-empire
Want to know L.A.'s Latinx story? Follow the music posters,"Beginning around 1990, the demographic landscape of the Los Angeles area changed dramatically through an infusion of immigrants from Mexico and Central America. But historian Jorge Leal says its impact on the neighborhoods of the Los Angeles area has never been charted in earnest. With his recently published research, Leal has taken a furtive step into documenting the Latinx community’s emerging L.A. footprint, using an unconventional source. If you want to know about the Latinx community’s presence in L.A. over the past 30 years, Leal says to follow the music posters.",https://news.ucr.edu/articles/2021/06/11/want-know-las-latinx-story-follow-music-posters
Experts on DACA,"On Dec. 4, a federal judge restored the rights afforded undocumented immigrants eligible for the Obama-era Deferred Action for Childhood Arrivals, or DACA program. The program had been in a state of suspension throughout the Trump presidency.",https://news.ucr.edu/articles/2020/12/04/experts-daca
Is ChatGPT a threat to education?,UC Riverside experts share thoughts on the AI-powered language model that understands and responds to natural language,https://news.ucr.edu/articles/2023/01/24/chatgpt-threat-education
UCR ecologist on geoengineering: a new solution to the climate crisis,"As many gather for Earth Day 2021, A UC Riverside ecologist urges caution toward solar geoengineering, an increasingly popular solution to the climate crisis.",https://news.ucr.edu/articles/2021/04/22/ucr-ecologist-geoengineering-new-solution-climate-crisis
Is it feasible to remove carbon dioxide from the atmosphere?,A UC Riverside engineer discusses direct air capture,https://news.ucr.edu/articles/2021/06/14/it-feasible-remove-carbon-dioxide-atmosphere
"Climate change is worsening, but population control isn't the answer",Jade S. Sasser's new book highlights contemporary population control’s consequences for poor women in the Global South,https://news.ucr.edu/articles/2018/11/14/climate-change-worsening-population-control-isnt-answer
How can workers reap more benefits from retail development projects?,Research from two UCR professors looks closely at the impacts of distribution centers like QVC’s Ontario outpost on working communities,https://news.ucr.edu/articles/2018/02/16/how-can-workers-reap-more-benefits-retail-development-projects
Class of 2020: Remembered for ‘their flexibility and resilience’,"UC Riverside’s 66th commencement will be a virtual celebration on Sunday, June 14. Meet some of the 2020 graduates. ",https://news.ucr.edu/articles/2020/06/10/class-2020-remembered-their-flexibility-and-resilience
Jewish Studies expert discusses rise in antisemitic attacks,"The Associated Press reported this week that preliminary data compiled by the Anti-Defamation League shows an increase in violent attacks, vandalism and harassment of Jews in the U.S., around the world, and online, since fighting broke out between Israel and Gaza’s militant rulers Hamas earlier this month.",https://news.ucr.edu/articles/2021/05/27/jewish-studies-expert-discusses-rise-antisemitic-attacks
Boyle Heights: Cemented in history,"Capturing the essence of a place requires more than time. It requires confianza. Trust.    That’s why for more than a year a team co-led by a UC Riverside cultural and urban historian interviewed, researched, and documented the lives of Boyle Heights residents — all in the midst of the COVID-19 pandemic. For centuries, Boyle Heights, a community three miles east of downtown Los Angeles, has been home to generations of immigrants and social justice movements.   ",https://news.ucr.edu/articles/2022/03/21/boyle-heights-cemented-history
If dogs could talk,New research suggests our relationships with pit bulls shed light on the ways we reproduce social inequality,https://news.ucr.edu/articles/2019/11/25/if-dogs-could-talk
How policing perpetuates the marginalization of LGBTQ youth,Research pinpoints a major source of de facto discrimination against LGBTQ youth experiencing homelessness,https://news.ucr.edu/articles/2020/03/19/how-policing-perpetuates-marginalization-lgbtq-youth
Racing to the finish line,"Taylor Brown, track and field champion, nominated for 2018 NCAA Woman of the Year award",https://news.ucr.edu/articles/2018/06/06/racing-finish-line
A political mind,Mina Hanin's career goals were shaped by his upbringing in Egypt,https://news.ucr.edu/articles/2018/06/06/political-mind
What's behind Southern California's housing crunch?,"Local land use decisions and opposition cause the region to lag behind, especially in affordable housing",https://news.ucr.edu/articles/2019/04/12/whats-behind-southern-californias-housing-crunch
Why multifamily housing is expensive to build in Los Angeles,Report calls for policymakers to enact zoning and other reforms,https://news.ucr.edu/articles/2020/03/05/why-multifamily-housing-expensive-build-los-angeles
Inland Empire helps drive California’s economic expansion,"The region has a higher share of job growth than the nation, California as a whole, and neighboring Southern California metros",https://news.ucr.edu/articles/2019/12/19/inland-empire-helps-drive-californias-economic-expansion
Business activity in the Inland Empire expands again,Trade activity strong to date but future outlook cloudy,https://news.ucr.edu/articles/2018/08/16/business-activity-inland-empire-expands-again
Inland Empire stem-cell therapy gets $2.9 million booster,"A new UC Riverside training program will help undergraduates transition into regenerative medicine careers, infusing the Inland Empire with expertise in cutting-edge trauma and disease treatments.",https://news.ucr.edu/articles/2023/04/03/inland-empire-stem-cell-therapy-gets-29-million-booster
Climate change predicted to bring more extremes to inland southern california,Regional report authored by UCR researchers is included in California’s Fourth Climate Change Assessment,https://news.ucr.edu/articles/2018/08/27/climate-change-predicted-bring-more-extremes-inland-southern-california
"UC Riverside, UW-Milwaukee professors awarded Department of Defense grant","Work of assistant professors Jinyong Liu, Bryan Wong will purify groundwater at Department of Defense sites",https://news.ucr.edu/articles/2018/03/06/uc-riverside-uw-milwaukee-professors-awarded-department-defense-grant
Here are the many ways UCR is helping students right now,A list of available resources during this time of uncertainty.,https://news.ucr.edu/articles/2020/06/10/here-are-many-ways-ucr-helping-students-right-now
Street-based sex workers perform emotional labor to build customer loyalty,Study finds it is an ordinary service business and more like other types of sex work than previously documented,https://news.ucr.edu/articles/2021/07/27/street-based-sex-workers-perform-emotional-labor-build-customer-loyalty
UC Riverside Launches Air Quality and Climate Change Training program,"The South Coast Air Quality Management District (AQMD) contributed $1 million to launch the Air Quality and Climate Change Training (ACT) program at University of California, Riverside’s Center for Environmental Research and Technology (CE-CERT). The program prepares students and working professionals for careers in the industry and will be offered by UCR’s Marlan and Rosemary Bourns College of Engineering.",https://news.ucr.edu/articles/2018/03/15/uc-riverside-launches-air-quality-and-climate-change-training-program
UCR explores collaboration with Chinese leaders,"This spring, a University of California, Riverside delegation traveled 6,698 miles west to Guangzhou, Guangdong, and Anhui Province in eastern China to strengthen UCR’s relationships with the region’s top educators, researchers, and government officials. Across the Pacific Ocean, Chancellor Kim A.",https://news.ucr.edu/articles/2018/04/09/ucr-explores-collaboration-chinese-leaders
UCR explores collaboration with China’s top educations and entrepreneurs,"This spring, a University of California, Riverside delegation traveled 6,698 miles west to Guangzhou, Guangdong, and Anhui Province in eastern China to strengthen UCR’s relationships with the region’s top educators, researchers, and government officials. Across the Pacific Ocean, Chancellor Kim A.",https://news.ucr.edu/articles/2018/04/09/ucr-explores-collaboration-chinas-top-educations-and-entrepreneurs
"Unwritten history: Seattle, a city built by immigrants and Indigenous people","‘Seattle from the Margins,’ a new book by assistant professor Megan Asaka points to the overseen contributions of the Duwamish, Japanese, Filipino, Chinese, and other immigrant communities.",https://news.ucr.edu/articles/2022/11/02/unwritten-history-seattle-city-built-immigrants-and-indigenous-people
An interview with UCR Engineering parents,"Parent's of graduating electrical engineering student, Frances and Ruperd Wilson Sr. reflect on their son's time at BCOE.    Q: What inspired Ruperd to attend UCR and become an Electrical Engineer?",https://news.ucr.edu/articles/2019/06/14/interview-ucr-engineering-parents
UC Riverside receives $1.2 million grant to build GPUs for autonomous vehicles,"Project will develop energy-efficient, energy-elastic, and real-time-aware graphic-processing units",https://news.ucr.edu/articles/2020/06/26/uc-riverside-receives-12-million-grant-build-gpus-autonomous-vehicles
